,model_type,N,min_val_er,min_val_er,min_val_er,min_val_er,min_val_er,last_val_er,last_val_er,last_val_er,last_val_er,last_val_er,num_params
,,,mean,std,min,max,median,mean,std,min,max,median,first
3,CifarMinFP-LS,9,5.922,0.11233877335987105,5.769999999999998,6.040000000000001,5.9200000000000035,5.987999999999998,0.11031772296417265,5.8599999999999985,6.089999999999995,6.030000000000002,801722
2,CifarMinFP-LS,7,6.090000000000001,0.10954451150103321,5.959999999999999,6.240000000000001,6.0799999999999965,6.187999999999998,0.09679876032263869,6.089999999999995,6.2999999999999945,6.159999999999998,606842
7,CifarPyrResNet,9,6.1499999999999995,0.10049875621121107,6.059999999999999,6.310000000000004,6.120000000000003,6.2680000000000025,0.12696456198483158,6.120000000000003,6.410000000000005,6.310000000000004,854938
6,CifarPyrResNet,7,6.598000000000002,0.09038805230781326,6.530000000000003,6.75,6.559999999999999,6.779999999999999,0.1449137674618925,6.6400000000000015,6.999999999999995,6.779999999999998,660058
1,CifarMinFP-LS,5,6.7639999999999985,0.20971409108593578,6.469999999999998,6.989999999999997,6.769999999999998,6.859999999999999,0.2280350850198283,6.5799999999999965,7.099999999999995,6.940000000000001,411962
5,CifarPyrResNet,5,7.028000000000001,0.10848963084092418,6.840000000000002,7.1200000000000045,7.06,7.197999999999999,0.05630275304103616,7.130000000000003,7.279999999999998,7.189999999999996,465178
0,CifarMinFP-LS,3,7.861999999999997,0.2292814863873648,7.540000000000003,8.089999999999996,7.960000000000001,8.048,0.21614809737770374,7.699999999999996,8.220000000000006,8.140000000000002,217082
4,CifarPyrResNet,3,8.063999999999998,0.25549951076274413,7.850000000000001,8.420000000000005,7.909999999999995,8.323999999999998,0.38396614434087617,7.989999999999997,8.919999999999995,8.189999999999998,270298
